YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCWAGE,VETSTAT,VETSTATD,EDUCDC,HSDIP,COLDIP,WHITE,BLACK,HISPANIC,MARRIED,FEMALE,VET,HSDIP-EDUCDC,COLDIP-EDUCDC,AGESQ,INCWAGE_LOG
2022,202201,1295,2022010074840,10800.4,2022000012951,80001,4,1,10800.4,0,0,2,23,6,2,200,0,0,8,81,1,10,4000,1,11,14.0,1,0,0,1,0,0,1,0,14.0,0.0,529,8.294049640102028
2022,202201,6453,2022000222947,13218.4,2022000064531,180101,1,2,20311.2,0,0,1,32,6,2,200,0,0,8,81,1,10,20000,1,11,14.0,1,0,0,1,0,0,0,0,14.0,0.0,1024,9.903487552536127
2022,202201,14513,2022000775583,15152.8,2022000145131,120101,1,1,15152.8,2,0,1,53,1,1,100,0,0,8,81,1,10,60000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,2809,11.002099841204238
2022,202201,15319,2022000831525,2901.6,2022000153191,100001,1,1,2901.6,1,0,2,28,1,1,100,0,0,8,81,1,10,16000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,784,9.680344001221918
2022,202201,15319,2022000831525,2901.6,2022000153191,100001,1,2,4997.2,1,0,1,28,1,1,100,0,0,8,81,1,10,90000,2,20,14.0,1,0,1,0,0,1,0,1,14.0,0.0,784,11.407564949312402
2022,202201,15803,2022000862996,12412.4,2022000158031,110001,1,2,8543.6,0,0,2,61,1,1,100,0,0,8,81,1,10,12000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,3721,9.392661928770137
2022,202201,17898,2022001007403,33207.2,2022000178981,40301,1,1,33368.4,0,0,1,54,4,1,100,0,0,8,81,1,10,45000,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,2916,10.714417768752456
2022,202201,18382,2022001041596,9188.4,2022000183821,280101,1,2,14185.6,0,0,2,51,4,1,100,0,0,8,81,1,10,30000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,2601,10.308952660644293
2022,202201,21606,2022001264354,6125.6,2022000216061,100001,1,2,9833.2,0,0,2,54,1,1,100,0,0,8,81,1,10,600,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,2916,6.396929655216146
2022,202201,23863,2022001416273,16281.2,2022000238631,280201,1,1,16120.0,2,2,1,33,1,1,100,0,0,8,81,1,10,60000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,1089,11.002099841204238
2022,202201,23863,2022001416273,16281.2,2022000238631,280201,1,2,12734.8,2,2,2,33,1,1,100,0,0,8,81,1,10,12000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,1089,9.392661928770137
